"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-10-27","2021","10","27","","12.6","","6.1","","9.4","","8.6","","0.0","","0.0","","0.0","","0.0","","","","3","","59",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-10-28","2021","10","28","","10.8","","3.4","","7.1","","10.9","","0.0","","0.0","","0.0","","0.0","","","","4","","45",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-10-29","2021","10","29","","12.7","","0.9","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","","","4","","36",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-10-30","2021","10","30","","12.7","","2.5","","7.6","","10.4","","0.0","","12.8","","0.0","","12.8","","","","5","","38",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-10-31","2021","10","31","","11.1","","7.8","","9.5","","8.5","","0.0","","38.0","","0.0","","38.0","","","","25","","45",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-01","2021","11","01","","11.4","","3.7","","7.6","","10.4","","0.0","","0.0","T","0.0","","0.0","T","","","24","","65",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-02","2021","11","02","","9.0","","1.9","","5.5","","12.5","","0.0","","4.4","","0.0","","4.4","","","","23","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-03","2021","11","03","","6.1","","-2.8","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-04","2021","11","04","","6.2","","-3.6","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-05","2021","11","05","","7.7","","-1.0","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","","","27","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-06","2021","11","06","","10.1","","-0.2","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","","","21","","35",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-07","2021","11","07","","12.8","","1.1","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-08","2021","11","08","","14.4","","5.5","","10.0","","8.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-09","2021","11","09","","14.9","","4.3","","9.6","","8.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-10","2021","11","10","","11.8","","0.6","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","","","26","","45",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-11","2021","11","11","","8.5","","-1.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","","","5","","35",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-12","2021","11","12","","10.8","","3.4","","7.1","","10.9","","0.0","","21.8","","0.0","","21.8","","","","12","","43",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-13","2021","11","13","","8.1","","0.9","","4.5","","13.5","","0.0","","3.0","","0.0","","3.0","","","","26","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-14","2021","11","14","","6.0","","0.9","","3.5","","14.5","","0.0","","3.0","","0.0","","3.0","","","","26","","45",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-15","2021","11","15","","4.2","","0.8","","2.5","","15.5","","0.0","","5.8","","0.0","","5.8","","","","28","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-16","2021","11","16","","2.8","","-3.7","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","","","28","","45",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-17","2021","11","17","","2.1","","-5.2","","-1.6","","19.6","","0.0","","2.8","","0.0","T","2.8","","","","9","","31",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-18","2021","11","18","","7.6","","2.0","","4.8","","13.2","","0.0","","6.0","","0.0","","6.0","","","","23","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-19","2021","11","19","","4.3","","-1.7","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","","","27","","56",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-20","2021","11","20","","4.8","","-4.5","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-21","2021","11","21","","6.7","","2.3","","4.5","","13.5","","0.0","","4.4","","0.0","","4.4","","","","17","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-22","2021","11","22","","7.4","","-3.8","","1.8","","16.2","","0.0","","2.0","","0.0","","2.0","","","","27","","75",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-23","2021","11","23","","-1.4","","-5.5","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","","","32","","34",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-24","2021","11","24","","2.0","","-8.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-25","2021","11","25","","3.2","","-2.8","","0.2","","17.8","","0.0","","1.2","","0.0","","1.2","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-26","2021","11","26","","3.0","","-1.7","","0.7","","17.3","","0.0","","5.2","","3.6","","15.4","","0","T","29","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-27","2021","11","27","","-1.7","","-6.6","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","2","","27","","52",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-28","2021","11","28","","-2.6","","-8.5","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","2","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-29","2021","11","29","","-3.0","","-7.8","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-11-30","2021","11","30","","-1.3","","-5.8","","-3.6","","21.6","","0.0","","0.0","","0.2","","0.2","","2","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-01","2021","12","01","","1.2","","-4.7","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","2","","29","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-02","2021","12","02","","6.6","","-1.9","","2.4","","15.6","","0.0","","4.4","","0.2","","4.6","","2","","23","","58",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-03","2021","12","03","","0.9","","-7.8","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","","","30","","59",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-04","2021","12","04","","-3.9","","-9.9","","-6.9","","24.9","","0.0","","0.0","","0.2","","0.2","","0","T","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-05","2021","12","05","","-2.9","","-9.3","","-6.1","","24.1","","0.0","","0.0","","5.6","","5.6","","0","T","8","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-06","2021","12","06","","8.7","","-4.1","","2.3","","15.7","","0.0","","23.0","","8.2","","31.2","","7","","23","","75",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-07","2021","12","07","","1.9","","-8.2","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","0","T","27","","72",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-08","2021","12","08","","-7.4","","-10.6","","-9.0","","27.0","","0.0","","0.0","","1.0","","1.0","","0","T","2","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-09","2021","12","09","","-5.4","","-10.9","","-8.2","","26.2","","0.0","","0.0","","1.2","","0.8","","1","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-10","2021","12","10","","-2.6","","-8.2","","-5.4","","23.4","","0.0","","0.0","","0.8","","0.6","","1","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-11","2021","12","11","","11.5","","-3.0","","4.3","","13.7","","0.0","","16.8","","0.0","T","16.8","","1","","22","","105",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-12","2021","12","12","","5.9","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","T","0.0","T","","","26","","85",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-13","2021","12","13","","8.6","","3.4","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","","","24","","67",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-14","2021","12","14","","3.7","","-7.2","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","","","27","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-15","2021","12","15","","2.6","","-7.9","","-2.7","","20.7","","0.0","","1.8","","3.6","","5.4","","2","E","7","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-16","2021","12","16","","15.5","","-0.3","","7.6","","10.4","","0.0","","0.4","","0.0","","0.4","","1","","23","","80",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-17","2021","12","17","","11.3","","-1.9","","4.7","","13.3","","0.0","","0.0","T","0.0","","0.0","T","","","24","","77",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-18","2021","12","18","","-1.5","","-6.5","","-4.0","","22.0","","0.0","","0.0","","8.2","","8.2","","2","E","3","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-19","2021","12","19","","-4.5","","-15.7","","-10.1","","28.1","","0.0","","0.0","","0.6","","0.6","","5","","27","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-20","2021","12","20","","2.0","","-16.2","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","5","","23","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-21","2021","12","21","","2.2","","-7.0","","-2.4","","20.4","","0.0","","0.0","","1.2","","1.2","","5","","29","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-22","2021","12","22","","-0.1","","-9.4","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","4","","29","","56",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-23","2021","12","23","","-9.4","","-15.1","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","4","","27","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-24","2021","12","24","","-4.9","","-15.4","","-10.2","","28.2","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-25","2021","12","25","","-4.0","","-8.8","","-6.4","","24.4","","0.0","","0.0","","2.2","","2.2","","4","","4","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-26","2021","12","26","","-0.2","","-4.1","","-2.2","","20.2","","0.0","","0.0","","0.6","","0.6","","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-27","2021","12","27","","-3.5","","-10.4","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","4","","5","","40",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-28","2021","12","28","","-2.5","","-9.1","","-5.8","","23.8","","0.0","","0.0","","2.0","","2.0","","5","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-29","2021","12","29","","-2.9","","-7.5","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","5","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-30","2021","12","30","","-1.6","","-6.7","","-4.2","","22.2","","0.0","","0.0","","0.6","","0.4","","5","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-12-31","2021","12","31","","0.0","","-3.4","","-1.7","","19.7","","0.0","","0.0","","0.2","","0.2","","6","","","M","","M"
